id,label,area,perimeter,bounding_x,bounding_y,bounding_width,bounding_height,circularity,compactness,convexity
30,Ferrite Bead,11571,432.877,80,456,102,151,0.775981,0.06175064,0.990244
31,Ferrite Bead,11561,427.723,1096,451,92,147,0.794144,0.06319595,0.989262
32,Ferrite Bead,23211,832.416,570,448,299,116,0.420942,0.03349752,0.849753
33,Ferrite Bead,11599,428.642,225,442,134,145,0.793308,0.06312941,0.991283
34,Ferrite Bead,11580,432.215,418,423,122,150,0.778965,0.0619881,0.991226
35,Ferrite Bead,11540,424.995,60,305,144,91,0.802875,0.06389079,0.992006
36,Ferrite Bead,11569,431.664,1228,302,150,98,0.780248,0.06209018,0.989438
37,Ferrite Bead,11581,434.174,381,278,151,117,0.772054,0.06143811,0.9911
38,Ferrite Bead,11583,434.759,559,273,151,117,0.770075,0.0612806,0.99
39,Ferrite Bead,11593,425.37,906,270,138,142,0.805177,0.06407397,0.992509
40,Ferrite Bead,11593,425.955,224,254,139,141,0.80293,0.0638951,0.991151
41,Ferrite Bead,11581,435.103,1392,250,151,116,0.768728,0.06117341,0.990252
42,Ferrite Bead,11606,424.784,728,245,139,141,0.80827,0.06432008,0.993282
43,Ferrite Bead,11581,434.919,1077,230,108,151,0.769411,0.06122776,0.989407
44,Ferrite Bead,11598,424.784,570,92,141,139,0.807713,0.06427575,0.992427
45,Ferrite Bead,11576,431.387,248,89,122,149,0.78169,0.06220491,0.99152
46,Ferrite Bead,11599,427.713,887,83,136,144,0.796792,0.06340666,0.991792
47,Ferrite Bead,11578,435.546,752,79,113,151,0.766997,0.06103568,0.989446
48,Ferrite Bead,11562,428.794,1221,78,148,93,0.790216,0.06288335,0.989431
49,Ferrite Bead,11571,434.333,1059,76,151,108,0.770788,0.06133737,0.989947
50,Ferrite Bead,11556,428.794,88,62,93,148,0.789805,0.06285072,0.990019
51,Ferrite Bead,11600,428.056,1400,54,134,145,0.795583,0.0633105,0.991665
52,Ferrite Bead,11552,426.894,423,47,91,147,0.796608,0.06339208,0.990441
53,Bolt,3941,309.598,796,1065,88,74,0.516678,0.04111594,0.804614
54,Bolt,3953,324.108,411,1055,82,95,0.472888,0.03763122,0.804027
55,Bolt,3976,322.309,544,1054,78,94,0.480964,0.03827388,0.808623
56,Bolt,3921,325.321,1325,1053,94,89,0.465627,0.03705343,0.795275
57,Bolt,3928,324.392,1195,1053,93,90,0.469074,0.03732772,0.791138
58,Bolt,3917,323.463,265,1053,92,92,0.470511,0.03744207,0.789103
59,Bolt,3913,321.262,1068,1052,91,94,0.476493,0.03791811,0.788376
60,Bolt,3910,322.534,938,1052,90,94,0.472319,0.03758596,0.788386
61,Bolt,3893,326.635,657,1050,87,96,0.458591,0.03649353,0.784584
62,Bolt,3953,317.539,145,1050,92,75,0.492654,0.03920418,0.804436
63,Bolt,3948,325.622,1185,935,95,78,0.467906,0.03723477,0.799029
64,Bolt,3937,327.764,139,932,96,82,0.460523,0.03664727,0.796238
65,Bolt,3961,309.012,796,927,87,75,0.521337,0.04148666,0.801112
66,Bolt,3956,316.752,1056,925,93,75,0.495543,0.03943407,0.811257
67,Bolt,3962,316.024,927,923,92,75,0.498521,0.03967101,0.805858
68,Bolt,3960,322.066,1320,920,94,76,0.479811,0.03818214,0.807359
69,Bolt,3947,310.083,682,919,75,89,0.515846,0.04104975,0.797535
70,Bolt,3960,319.238,284,916,76,93,0.488351,0.03886172,0.811162
71,Bolt,3960,307.255,540,914,75,88,0.527118,0.04194669,0.806928
72,Bolt,3959,319.924,406,911,93,75,0.486135,0.03868539,0.805267
73,Bolt,3928,328.451,270,795,96,80,0.457552,0.03641085,0.796189
74,Bolt,3951,313.296,796,786,91,75,0.505896,0.04025789,0.805032
75,Bolt,3930,323.22,144,783,90,93,0.472721,0.03761795,0.794581
76,Bolt,3920,324.492,538,782,88,93,0.467888,0.03723337,0.796769
77,Bolt,3904,324.25,1192,781,87,94,0.466617,0.03713218,0.791485
78,Bolt,3949,322.652,1314,773,75,94,0.476682,0.03793315,0.806001
79,Bolt,3969,319.095,1054,773,75,94,0.489897,0.03898473,0.805254
80,Bolt,3948,326.108,930,771,82,95,0.466514,0.03712404,0.802521
81,Bolt,3913,327.907,664,768,96,85,0.457319,0.03639229,0.792506
82,Bolt,3913,324.877,403,767,95,88,0.465888,0.03707417,0.790665
83,Bolt,3966,307.012,1071,643,74,88,0.528818,0.04208198,0.803179
84,Bolt,3962,317.296,815,641,75,92,0.494594,0.03935852,0.805632
85,Bolt,3957,319.782,1339,640,75,93,0.486321,0.03870023,0.80339
86,Bolt,3933,323.463,411,638,93,91,0.472433,0.03759499,0.792006
87,Bolt,3911,319.848,937,637,91,94,0.480409,0.03822973,0.79138
88,Bolt,3959,305.598,538,637,75,87,0.532714,0.04239206,0.801498
89,Bolt,3961,314.225,146,637,91,75,0.504118,0.04011643,0.802797
90,Bolt,3930,329.522,272,631,96,81,0.454872,0.03619756,0.794522
91,Bolt,3913,323.12,1188,629,92,92,0.471029,0.03748332,0.788376
92,Bolt,3921,322.534,664,629,95,89,0.473648,0.0376917,0.789649
93,Bolt,3914,323.948,533,512,95,89,0.468743,0.03730139,0.788578
94,Bolt,3965,315.196,1319,508,92,75,0.501524,0.03991002,0.807371
95,Bolt,3915,323.948,274,508,92,92,0.468863,0.03731092,0.789654
96,Bolt,3973,320.409,797,506,94,75,0.486377,0.03870467,0.809597
97,Bolt,3962,323.38,667,504,95,79,0.476161,0.03789167,0.802613
98,Bolt,3961,317.196,162,502,75,93,0.49472,0.03936856,0.803693
99,Bolt,3975,320.409,414,500,76,94,0.486622,0.03872415,0.806308
100,Bolt,3962,305.698,1061,499,74,86,0.532835,0.04240164,0.80596
101,Bolt,3949,317.782,1191,497,92,75,0.491467,0.03910968,0.802581
102,Bolt,3961,324.066,922,496,75,95,0.474026,0.03772182,0.804611
103,Bolt,3967,319.338,139,382,94,75,0.488844,0.038901,0.806219
104,Bolt,3972,316.51,1320,369,93,75,0.498248,0.03964928,0.810364
105,Bolt,3951,311.74,944,366,75,89,0.510895,0.04065572,0.802152
106,Bolt,3930,327.078,800,366,87,94,0.461635,0.03673579,0.79194
107,Bolt,3981,311.397,1199,364,75,90,0.515909,0.04105475,0.807341
108,Bolt,3932,326.108,669,364,94,84,0.464624,0.03697358,0.7987
109,Bolt,3967,309.841,278,363,89,74,0.519338,0.0413276,0.802894
110,Bolt,3952,324.309,1080,362,75,95,0.472182,0.03757507,0.803415
111,Bolt,3952,321.823,546,362,75,94,0.479503,0.03815766,0.811666
112,Bolt,3942,327.279,404,355,95,80,0.462476,0.03680271,0.797088
113,Bolt,3957,305.941,534,237,87,74,0.531252,0.04227565,0.804514
114,Bolt,3913,322.191,795,235,94,89,0.473689,0.03769496,0.788196
115,Bolt,3957,315.782,273,232,92,75,0.49872,0.03968687,0.808395
116,Bolt,3958,317.439,666,231,92,76,0.493652,0.03928359,0.804737
117,Bolt,3950,325.38,1059,228,95,78,0.468901,0.03731394,0.802866
118,Bolt,3945,327.522,1322,226,95,84,0.462201,0.03678083,0.795223
119,Bolt,3903,322.291,919,224,92,91,0.472244,0.03758,0.790662
120,Bolt,3960,313.64,150,223,75,91,0.505939,0.04026134,0.805881
121,Bolt,3927,329.078,1204,222,84,96,0.455693,0.03626291,0.792373
122,Bolt,3912,323.22,395,221,87,95,0.470556,0.03744566,0.79359
123,Bolt,3958,318.853,924,106,93,75,0.489221,0.03893098,0.804799
124,Bolt,3955,311.74,1056,102,89,75,0.511412,0.04069688,0.803943
125,Bolt,3934,323.279,1183,92,94,82,0.47303,0.03764253,0.80253
126,Bolt,3963,313.296,275,91,91,76,0.507432,0.04038015,0.802653
127,Bolt,3921,322.392,527,88,94,88,0.474066,0.03772494,0.794287
128,Bolt,3992,316.61,805,85,75,93,0.500501,0.03982861,0.814214
129,Bolt,3955,314.125,672,85,76,91,0.50374,0.04008637,0.799656
130,Bolt,3921,320.191,1310,84,91,94,0.480605,0.03824537,0.791562
131,Bolt,3906,321.262,414,84,91,94,0.475641,0.03785029,0.79031
132,Bolt,3955,318.024,139,82,75,93,0.4914,0.0391044,0.80329
133,Bolt,5047,392.693,868,1001,123,88,0.411319,0.03273174,0.762405
134,Bolt,5027,399.907,1415,997,123,95,0.395004,0.03143342,0.753278
135,Bolt,4984,400.676,723,989,118,107,0.390122,0.03104495,0.747451
136,Bolt,5052,383.924,458,988,121,76,0.430751,0.03427805,0.770609
137,Bolt,4977,397.889,998,985,113,114,0.39509,0.03144029,0.744077
138,Bolt,5058,391.865,314,982,123,86,0.41396,0.03294191,0.762799
139,Bolt,5070,387.38,1148,977,82,122,0.424607,0.03378913,0.765358
140,Bolt,5061,373.64,199,977,76,119,0.4556,0.03625546,0.772276
141,Bolt,5002,401.806,52,977,120,99,0.389371,0.03098518,0.751465
142,Bolt,5044,372.225,1293,975,76,118,0.457481,0.03640517,0.765576
143,Bolt,4976,398.676,602,948,117,109,0.393414,0.03130688,0.743186
144,Bolt,5062,383.681,1414,838,121,76,0.432107,0.03438595,0.771117
145,Bolt,5058,388.551,185,816,122,82,0.421051,0.03350619,0.769881
146,Bolt,5004,399.706,319,811,102,121,0.393592,0.03132108,0.751633
147,Bolt,5031,401.321,1004,810,98,122,0.392576,0.03124022,0.751924
148,Bolt,5050,369.012,753,809,76,116,0.466083,0.03708967,0.763838
149,Bolt,5038,367.113,1299,808,75,116,0.469753,0.03738173,0.763333
150,Bolt,5008,367.598,890,808,75,116,0.465723,0.03706108,0.762427
151,Bolt,5076,383.439,59,808,76,121,0.433893,0.0345281,0.770275
152,Bolt,4998,401.12,587,806,120,103,0.390392,0.03106643,0.747887
153,Bolt,4965,398.919,1149,804,115,111,0.392106,0.03120283,0.743672
154,Bolt,5064,390.108,464,802,85,122,0.418152,0.03327551,0.767854
155,Bolt,5061,390.208,1414,666,123,84,0.417731,0.03324196,0.766952
156,Bolt,5019,368.426,1140,662,117,75,0.46465,0.03697564,0.75896
157,Bolt,4985,398.676,863,645,107,118,0.394125,0.0313635,0.745421
158,Bolt,4993,398.09,591,644,106,119,0.39596,0.03150951,0.747194
159,Bolt,5048,376.125,1291,640,76,119,0.448444,0.03568603,0.770352
160,Bolt,5033,376.953,1031,640,76,119,0.445148,0.03542378,0.766367
161,Bolt,5046,375.882,483,640,76,119,0.448801,0.03571442,0.76652
162,Bolt,5053,366.184,206,640,75,116,0.473592,0.03768722,0.765508
163,Bolt,5050,369.255,339,639,75,117,0.465424,0.03703727,0.767769
164,Bolt,4978,398.09,61,633,108,118,0.394771,0.03141486,0.745173
165,Bolt,4985,401.362,729,632,104,119,0.388867,0.03094508,0.749455
166,Bolt,4985,397.889,1149,480,114,114,0.395725,0.03149082,0.742332
167,Bolt,4990,402.676,743,477,108,118,0.386722,0.03077433,0.744221
168,Bolt,5052,366.77,1023,472,76,116,0.47194,0.03755578,0.765977
169,Bolt,5030,367.113,889,472,75,116,0.469007,0.03732237,0.763915
170,Bolt,5043,364.284,205,472,75,115,0.477549,0.03800215,0.767872
171,Bolt,4976,401.019,314,468,119,105,0.38883,0.0309421,0.743908
172,Bolt,4970,402.919,1421,467,116,110,0.384747,0.03061716,0.742808
173,Bolt,4985,398.475,1287,465,113,115,0.394523,0.03139515,0.745644
174,Bolt,5000,402.635,594,464,100,120,0.387616,0.03084547,0.752634
175,Bolt,5031,400.149,477,464,97,122,0.394878,0.03142342,0.752374
176,Bolt,4988,403.948,47,463,103,120,0.384174,0.03057162,0.746167
177,Bolt,5066,367.355,321,324,116,75,0.471786,0.03754355,0.766374
178,Bolt,5021,368.184,458,322,117,75,0.465494,0.03704283,0.762914
179,Bolt,4993,400.919,872,316,119,107,0.390393,0.03106649,0.743911
180,Bolt,4969,403.262,1133,315,118,107,0.384015,0.03055893,0.743381
181,Bolt,5037,397.179,1406,305,123,92,0.401285,0.03193325,0.758203
182,Bolt,5058,394.108,1008,303,88,123,0.409222,0.03256485,0.762551
183,Bolt,5036,395.179,189,296,89,122,0.405277,0.03225089,0.759997
184,Bolt,4992,397.061,42,296,115,113,0.397936,0.03166676,0.744261
185,Bolt,5040,398.492,1298,295,94,123,0.398881,0.03174194,0.754284
186,Bolt,5040,400.877,748,295,100,122,0.39411,0.03136229,0.752632
187,Bolt,5044,397.664,616,295,92,123,0.400863,0.03189963,0.755957
188,Bolt,5015,401.22,187,152,122,99,0.391485,0.03115337,0.749907
189,Bolt,4969,402.333,1407,145,116,110,0.385751,0.03069712,0.743974
190,Bolt,5056,386.652,868,143,121,79,0.424988,0.03381948,0.770732
191,Bolt,4983,397.404,316,140,110,117,0.396533,0.03155511,0.744528
192,Bolt,5036,396.492,69,136,92,122,0.402596,0.03203753,0.760112
193,Bolt,5041,387.622,621,135,82,121,0.421608,0.0335505,0.767217
194,Bolt,5064,394.593,461,135,90,123,0.4087,0.03252334,0.759505
195,Bolt,5057,373.397,756,132,76,119,0.455786,0.03627032,0.769887
196,Bolt,5048,384.409,1034,129,77,122,0.429324,0.03416449,0.767774
197,Bolt,4985,396.233,1271,128,115,112,0.399042,0.03175473,0.75032
198,Bolt,4972,395.647,1117,119,109,117,0.39914,0.03176259,0.743588
199,Diode,4312,391.64,852,1105,154,53,0.353318,0.02811615,0.770364
200,Diode,4346,396.25,997,1098,147,65,0.347826,0.02767908,0.785895
201,Diode,4321,391.054,1376,1095,154,53,0.355076,0.02825603,0.770369
202,Diode,4372,382.902,464,1074,123,98,0.374728,0.02981988,0.790668
203,Diode,4317,392.225,83,1059,154,53,0.352631,0.02806148,0.768218
204,Diode,4322,389.983,1176,1045,52,154,0.357153,0.02842132,0.767898
205,Diode,4360,398.108,631,1030,63,149,0.345697,0.02750967,0.781082
206,Diode,4367,388.96,1283,1025,83,133,0.362729,0.02886505,0.793207
207,Diode,4341,396.409,277,1022,59,152,0.347186,0.02762819,0.772165
208,Diode,4328,385.841,775,1008,49,155,0.365369,0.02907512,0.774468
209,Diode,4320,388.326,404,976,51,154,0.36004,0.0286511,0.770486
210,Diode,4380,395.304,866,881,137,80,0.352227,0.02802932,0.783612
211,Diode,4360,397.806,89,880,145,67,0.346261,0.02755455,0.786668
212,Diode,4389,377.387,608,878,101,120,0.387259,0.03081712,0.795037
213,Diode,4384,397.304,724,875,138,79,0.349008,0.02777318,0.789981
214,Diode,4346,394.978,336,875,144,67,0.35011,0.02786086,0.791496
215,Diode,8763,774.825,1125,868,230,127,0.183434,0.01459721,0.499686
216,Diode,4369,397.362,1016,850,69,143,0.347711,0.02766995,0.790841
217,Diode,4330,392.711,261,841,54,154,0.352819,0.02807647,0.769983
218,Diode,4388,388.659,1386,828,128,94,0.365081,0.02905218,0.787882
219,Diode,4361,391.203,453,797,132,86,0.35813,0.02849911,0.790342
220,Diode,4338,388.569,733,719,154,52,0.361047,0.02873123,0.770789
221,Diode,4386,379.044,227,682,102,119,0.383619,0.03052741,0.793702
222,Diode,4393,372.843,488,678,112,110,0.397118,0.03160166,0.79641
223,Diode,4368,396.09,1144,673,73,140,0.349908,0.02784477,0.791037
224,Diode,4362,400.149,1383,666,147,66,0.342374,0.02724529,0.782441
225,Diode,4347,390.032,1280,664,86,131,0.359129,0.02857855,0.789521
226,Diode,4363,398.049,67,659,145,67,0.346037,0.02753675,0.786055
227,Diode,4330,395.581,1024,657,58,153,0.347758,0.02767374,0.774895
228,Diode,4331,394.652,915,655,59,151,0.349438,0.02780738,0.77721
229,Diode,4356,396.149,335,652,146,66,0.348843,0.02776003,0.787865
230,Diode,4317,389.983,642,642,51,154,0.35674,0.02838844,0.770157
231,Diode,4385,378.801,310,530,120,101,0.384067,0.03056305,0.794691
232,Diode,4342,396.936,854,487,149,63,0.346305,0.02755806,0.782765
233,Diode,4360,388.032,997,477,130,88,0.363925,0.02896025,0.789517
234,Diode,4344,397.522,1366,473,149,63,0.345484,0.02749272,0.783428
235,Diode,4370,391.061,1160,470,80,135,0.35913,0.02857868,0.794275
236,Diode,4360,389.931,495,470,89,131,0.360347,0.02867549,0.787501
237,Diode,4377,385.831,109,453,95,126,0.369524,0.0294058,0.788384
238,Diode,4367,390.375,208,450,133,84,0.360147,0.02865957,0.792434
239,Diode,4337,396.652,1301,449,59,151,0.346402,0.0275658,0.77585
240,Diode,4367,387.931,767,434,90,129,0.364657,0.02901845,0.790622
241,Diode,4339,395.38,646,423,61,150,0.348836,0.02775945,0.779854
242,Diode,4375,389.446,501,375,131,87,0.362488,0.0288459,0.791784
243,Diode,4334,394.652,884,371,151,59,0.34968,0.02782664,0.779637
244,Diode,4358,391.203,1374,301,132,85,0.357884,0.02847951,0.789369
245,Diode,4329,394.752,525,294,152,58,0.349139,0.02778359,0.775201
246,Diode,4369,395.505,1287,289,73,140,0.350985,0.02793051,0.792706
247,Diode,4327,391.296,980,285,153,54,0.355169,0.02826345,0.772079
248,Diode,4338,394.309,203,275,151,61,0.350612,0.02790082,0.777419
249,Diode,4404,374.014,1135,259,109,114,0.395622,0.03148262,0.7938
250,Diode,4349,396.836,777,255,65,147,0.347079,0.02761965,0.786102
251,Diode,4311,391.74,134,245,51,155,0.353014,0.02809195,0.769615
252,Diode,4346,397.078,383,241,65,147,0.346376,0.02756371,0.786606
253,Diode,4331,392.368,634,231,153,55,0.353518,0.02813209,0.772014
254,Diode,4341,390.711,463,125,154,54,0.357346,0.0284367,0.774556
255,Diode,4384,388.416,744,108,129,91,0.365162,0.02905866,0.788986
256,Diode,4361,391.304,1400,97,82,134,0.357905,0.02848121,0.79147
257,Diode,4323,391.64,913,81,53,154,0.354219,0.02818787,0.77006
258,Diode,4377,387.588,246,81,92,128,0.366139,0.02913642,0.790358
259,Diode,4382,380.458,1025,79,101,121,0.380468,0.03027671,0.790352
260,Diode,4368,388.032,1277,61,86,131,0.364593,0.02901338,0.794706
261,Diode,4331,395.338,1166,52,57,153,0.348226,0.02771091,0.774015
262,Diode,4319,390.569,388,36,52,154,0.355794,0.02831318,0.771526
263,Diode,4344,397.522,123,30,63,149,0.345484,0.02749272,0.780753
264,Knob,12169,628.843,975,991,159,168,0.386706,0.03077307,0.636121
265,Knob,12183,630.257,503,991,167,161,0.385431,0.03067163,0.634723
266,Knob,12193,632.843,732,950,165,165,0.382586,0.03044521,0.631745
267,Knob,12188,629.914,268,935,152,170,0.386009,0.03071765,0.635695
268,Knob,12191,631.571,67,918,152,170,0.384081,0.03056422,0.633901
269,Knob,12176,630.843,1118,868,165,163,0.384479,0.03059585,0.634101
270,Knob,12169,633.085,426,820,167,161,0.381556,0.03036325,0.631804
271,Knob,12184,631.914,873,785,170,156,0.383444,0.0305135,0.632337
272,Knob,12190,630.014,649,772,165,163,0.385934,0.03071163,0.63483
273,Knob,12204,633.328,1285,726,158,169,0.382344,0.030426,0.632233
274,Knob,12169,630.257,242,714,166,162,0.384988,0.03063638,0.634059
275,Knob,12178,632.742,59,682,153,170,0.382252,0.03041867,0.632962
276,Knob,12174,627.914,1078,672,152,169,0.388026,0.03087814,0.638646
277,Knob,12192,632.985,464,639,171,148,0.382383,0.03042905,0.633532
278,Knob,12193,631.328,772,602,158,168,0.384424,0.03059148,0.634622
279,Knob,12175,629.671,1061,511,166,162,0.385879,0.03070728,0.634759
280,Knob,12199,631.671,1266,504,170,155,0.384195,0.03057329,0.632761
281,Knob,12185,632.156,341,491,170,154,0.383165,0.03049133,0.632872
282,Knob,12196,633.428,51,477,161,168,0.381988,0.03039765,0.632681
283,Knob,12184,632.5,895,473,170,154,0.382718,0.03045576,0.63389
284,Knob,12189,631.914,615,469,166,162,0.383601,0.03052602,0.634143
285,Knob,12189,631.571,463,325,150,171,0.384018,0.0305592,0.633682
286,Knob,12185,632.156,249,314,152,170,0.383165,0.03049133,0.633893
287,Knob,12206,630.742,61,314,149,171,0.385565,0.03068226,0.63511
288,Knob,12180,631.914,904,283,153,170,0.383318,0.03050349,0.635029
289,Knob,12198,633.671,1353,282,168,160,0.381743,0.03037811,0.63171
290,Knob,12201,633.671,654,281,168,161,0.381837,0.03038558,0.631048
291,Knob,12185,630.742,1111,240,151,170,0.384901,0.03062948,0.634876
292,Knob,12191,631.428,369,130,164,166,0.384254,0.03057798,0.632585
293,Knob,12202,629.428,178,123,165,164,0.387049,0.03080038,0.63515
294,Knob,12195,630.742,645,107,169,154,0.385217,0.03065461,0.635116
295,Knob,12196,630.742,1279,91,170,149,0.385249,0.03065713,0.633881
296,Knob,12191,630.156,1059,61,170,151,0.385791,0.0307003,0.635709
297,Knob,12170,632.257,860,58,159,168,0.382588,0.03044537,0.632842
298,Knob,12664,3182,0,1215,1584,9,0.015717,0.00125075,1
299,Knob,10152,497.889,1278,1031,134,135,0.514656,0.04095503,0.751564
300,Knob,10147,496.96,1069,1024,136,134,0.516302,0.04108601,0.751157
301,Knob,10148,502.032,526,1023,134,136,0.505999,0.04026613,0.746268
302,Knob,10138,497.546,882,1019,135,133,0.514656,0.04095499,0.752365
303,Knob,10138,499.789,147,1002,135,135,0.510022,0.04058627,0.748634
304,Knob,10150,498.96,320,997,135,133,0.512323,0.04076935,0.74988
305,Knob,10145,495.546,715,981,136,133,0.519176,0.04131474,0.752382
306,Knob,10131,494.96,338,843,136,132,0.519662,0.04135341,0.754384
307,Knob,10136,497.789,1083,827,136,133,0.514027,0.04090498,0.751037
308,Knob,10145,497.203,528,819,134,135,0.515722,0.04103985,0.752215
309,Knob,10161,498.375,721,818,135,136,0.51411,0.04091155,0.748987
310,Knob,10153,502.617,903,817,137,134,0.505044,0.04019014,0.744491
311,Knob,10154,501.203,138,807,135,135,0.507973,0.04042323,0.747066
312,Knob,10137,495.546,1266,800,135,134,0.518767,0.04128217,0.75299
313,Knob,10141,499.203,1263,644,135,135,0.511396,0.04069562,0.749972
314,Knob,10131,499.789,319,643,135,135,0.50967,0.04055824,0.748393
315,Knob,10145,497.546,125,641,136,134,0.515011,0.04098326,0.750851
316,Knob,10130,498.96,511,636,134,135,0.511313,0.04068902,0.752014
317,Knob,10140,497.789,891,634,133,136,0.51423,0.04092112,0.749945
318,Knob,10144,501.203,722,620,133,136,0.507473,0.04038343,0.747871
319,Knob,10151,498.96,1087,612,135,135,0.512373,0.04077337,0.750092
320,Knob,10137,498.96,1078,462,133,136,0.511667,0.04071713,0.749362
321,Knob,10140,497.789,705,450,134,136,0.51423,0.04092113,0.75217
322,Knob,10128,496.96,324,449,135,133,0.515335,0.04100908,0.753403
323,Knob,10153,498.96,881,440,135,134,0.512474,0.0407814,0.750462
324,Knob,10142,500.375,137,432,135,136,0.509054,0.04050927,0.747779
325,Knob,10133,495.546,1263,422,133,136,0.518562,0.04126588,0.753953
326,Knob,10152,500.375,513,416,134,136,0.509556,0.04054921,0.747882
327,Knob,10144,501.203,312,268,136,134,0.507473,0.04038343,0.74732
328,Knob,10132,498.96,136,267,135,135,0.511414,0.04069705,0.749381
329,Knob,10143,499.789,1247,265,136,134,0.510274,0.04060628,0.748395
330,Knob,10125,494.718,1073,257,135,133,0.51989,0.04137151,0.755071
331,Knob,10162,503.446,877,250,136,135,0.50383,0.04009349,0.745643
332,Knob,10143,496.96,508,242,134,136,0.516099,0.04106982,0.751612
333,Knob,10154,500.375,708,240,136,134,0.509657,0.04055719,0.747424
334,Knob,10153,496.96,1084,84,134,135,0.516607,0.04111031,0.75149
335,Knob,10136,496.96,512,83,136,134,0.515742,0.04104147,0.750815
336,Knob,10123,497.546,702,70,135,134,0.513894,0.04089439,0.751782
337,Knob,10126,500.375,132,53,135,135,0.508251,0.04044536,0.748061
338,Knob,10155,501.203,891,49,136,135,0.508023,0.04042721,0.745276
339,Knob,10145,496.96,1282,48,133,135,0.5162,0.04107791,0.752652
340,Knob,10139,498.96,325,48,135,135,0.511768,0.04072517,0.748652
341,Nut,3623,232.995,590,868,72,67,0.838659,0.06673833,0.981311
342,Nut,3602,232.066,1144,867,71,69,0.840603,0.06689303,0.980806
343,Nut,3603,231.48,1256,866,69,71,0.84498,0.06724136,0.982011
344,Nut,3619,232.167,1036,866,66,72,0.843722,0.06714125,0.986104
345,Nut,3606,232.409,924,866,68,71,0.839053,0.0667697,0.980693
346,Nut,3603,232.167,814,866,66,72,0.839992,0.06684441,0.98483
347,Nut,3609,233.238,702,866,69,71,0.833796,0.06635138,0.979777
348,Nut,3608,231.723,480,866,70,71,0.844498,0.06720304,0.981104
349,Nut,3615,231.581,371,866,66,72,0.847175,0.06741608,0.985956
350,Nut,3616,233.48,259,866,69,72,0.833562,0.06633278,0.97968
351,Nut,3606,232.066,1033,785,72,68,0.841536,0.06696731,0.98243
352,Nut,3615,232.652,479,785,72,68,0.839277,0.06678754,0.98127
353,Nut,3604,231.137,1144,784,71,70,0.847726,0.06745987,0.982552
354,Nut,3609,229.723,923,784,70,70,0.859505,0.06839724,0.987146
355,Nut,3600,230.894,369,784,70,70,0.848683,0.06753608,0.982937
356,Nut,3594,229.48,259,784,69,70,0.857625,0.06824762,0.983445
357,Nut,3616,234.652,1256,783,69,72,0.825259,0.06567206,0.979017
358,Nut,3597,231.48,813,783,69,71,0.843573,0.06712938,0.982921
359,Nut,3611,232.652,703,783,68,72,0.838348,0.06671364,0.98125
360,Nut,3613,232.652,592,783,68,72,0.838813,0.06675059,0.981393
